TargetID	ProbeID	HSS 106.AVG_Signal	HSS 106.Detection Pval	HSS 107.AVG_Signal	HSS 107.Detection Pval	HSS 108.AVG_Signal	HSS 108.Detection Pval	HSS 109.AVG_Signal	HSS 109.Detection Pval	HSS 110.AVG_Signal	HSS 110.Detection Pval	HSS 111.AVG_Signal	HSS 111.Detection Pval	HSS 112.AVG_Signal	HSS 112.Detection Pval	HSS 113.AVG_Signal	HSS 113.Detection Pval	HSS 114.AVG_Signal	HSS 114.Detection Pval	HSS 115.AVG_Signal	HSS 115.Detection Pval	HSS 116.AVG_Signal	HSS 116.Detection Pval	HSS 117.AVG_Signal	HSS 117.Detection Pval	HSS 118.AVG_Signal	HSS 118.Detection Pval	HSS 119.AVG_Signal	HSS 119.Detection Pval	HSS 120.AVG_Signal	HSS 120.Detection Pval	HSS 121.AVG_Signal	HSS 121.Detection Pval	HSS 122.AVG_Signal	HSS 122.Detection Pval	HSS 123.AVG_Signal	HSS 123.Detection Pval	HSS 125.AVG_Signal	HSS 125.Detection Pval	HSS 126.AVG_Signal	HSS 126.Detection Pval	HSS 127.AVG_Signal	HSS 127.Detection Pval	HSS 128.AVG_Signal	HSS 128.Detection Pval	HSS 129.AVG_Signal	HSS 129.Detection Pval	HSS 131.AVG_Signal	HSS 131.Detection Pval	HSS 132.AVG_Signal	HSS 132.Detection Pval	HSS 133.AVG_Signal	HSS 133.Detection Pval	HSS 134.AVG_Signal	HSS 134.Detection Pval	HSS 135.AVG_Signal	HSS 135.Detection Pval	HSS 136.AVG_Signal	HSS 136.Detection Pval	HSS 137.AVG_Signal	HSS 137.Detection Pval	HSS 138.AVG_Signal	HSS 138.Detection Pval	HSS 139.AVG_Signal	HSS 139.Detection Pval	HSS 140.AVG_Signal	HSS 140.Detection Pval	HSS 141.AVG_Signal	HSS 141.Detection Pval	HSS 142.AVG_Signal	HSS 142.Detection Pval	HSS 143.AVG_Signal	HSS 143.Detection Pval	HSS 144.AVG_Signal	HSS 144.Detection Pval	HSS 145.AVG_Signal	HSS 145.Detection Pval	HSS 146.AVG_Signal	HSS 146.Detection Pval	HSS 147.AVG_Signal	HSS 147.Detection Pval	HSS 148.AVG_Signal	HSS 148.Detection Pval	HSS 149.AVG_Signal	HSS 149.Detection Pval	HSS 150.AVG_Signal	HSS 150.Detection Pval	HSS 151.AVG_Signal	HSS 151.Detection Pval	HSS 152.AVG_Signal	HSS 152.Detection Pval	HSS 153.AVG_Signal	HSS 153.Detection Pval	HSS 154.AVG_Signal	HSS 154.Detection Pval	HSS 155.AVG_Signal	HSS 155.Detection Pval
BIOTIN	5090180	15498.01	0.00	20950.49	0.00	25762.71	0.00	25915.98	0.00	22432.02	0.00	26494.59	0.00	22443.34	0.00	26439.81	0.00	27661.79	0.00	24976.35	0.00	28242.91	0.00	21048.57	0.00	36490.99	0.00	40384.57	0.00	33043.8	0.00	30994.92	0.00	30219.9	0.00	33804.39	0.00	31938.36	0.00	29253.48	0.00	33067.08	0.00	31827.62	0.00	32531.72	0.00	26749.47	0.00	31116.2	0.00	30713.91	0.00	30335.3	0.00	27429.02	0.00	27403.02	0.00	25981.07	0.00	29284.87	0.00	26471.41	0.00	27310.9	0.00	27097.37	0.00	29759.92	0.00	28939.04	0.00	21305.26	0.00	24946.07	0.00	22961.14	0.00	26002.47	0.00	25620.65	0.00	23036.5	0.00	28575.62	0.00	26756.5	0.00	31270.95	0.00	29559.88	0.00	24117.86	0.00	23813.92	0.00
BIOTIN	6510136	15827.82	0.00	21055.75	0.00	25193.67	0.00	23705.66	0.00	22844.16	0.00	24783.29	0.00	22545.64	0.00	25771.64	0.00	22513.67	0.00	23295.12	0.00	25679.8	0.00	20102.21	0.00	33944.59	0.00	32017.78	0.00	36470.6	0.00	29792.54	0.00	33042.87	0.00	34130.56	0.00	27210.87	0.00	25722.08	0.00	27099.22	0.00	27512.18	0.00	31444.24	0.00	27763.68	0.00	30198.03	0.00	28017.89	0.00	27853.5	0.00	30147.25	0.00	29413.63	0.00	27883.31	0.00	30568.58	0.00	27939.69	0.00	30850.33	0.00	27673.81	0.00	27795.95	0.00	26897.59	0.00	19482.18	0.00	26799.03	0.00	22283.25	0.00	23616.88	0.00	24889.31	0.00	23097.26	0.00	28035.59	0.00	22388.57	0.00	28433.82	0.00	28514.38	0.00	26491.53	0.00	24183.42	0.00
CY3_HYB	1110170	18813.48	0.00	24806.37	0.00	28910.07	0.00	28558.81	0.00	26582.19	0.00	31769.92	0.00	26031.88	0.00	31307.7	0.00	28564.65	0.00	28863.88	0.00	31578.46	0.00	26339.88	0.00	41610.47	0.00	41670.71	0.00	43485.22	0.00	33954.04	0.00	40908.54	0.00	39245.19	0.00	34484.5	0.00	34667.68	0.00	34392.9	0.00	32861.49	0.00	39087.76	0.00	30252.93	0.00	34795.6	0.00	32671.39	0.00	29883.18	0.00	31850.01	0.00	31802.42	0.00	31673.41	0.00	32437.55	0.00	30522.38	0.00	31069.85	0.00	34935.45	0.00	36021.97	0.00	33880.3	0.00	20887.03	0.00	33920.34	0.00	27401.11	0.00	34025.4	0.00	29613.05	0.00	28809.13	0.00	31866.44	0.00	33090.91	0.00	34346.05	0.00	32122.25	0.00	30932.27	0.00	29174.38	0.00
CY3_HYB	1450438	505.7171	0.00	589.689	0.00	694.9545	0.00	744.1146	0.00	640.9055	0.00	679.4393	0.00	599.3828	0.00	712.7007	0.00	660.6624	0.00	679.7962	0.00	706.4187	0.00	528.7288	0.00	820.1064	0.00	850.7409	0.00	849.7978	0.00	765.3495	0.00	788.4688	0.00	822.0385	0.00	750.5656	0.00	727.9545	0.00	798.0517	0.00	760.1358	0.00	796.5286	0.00	664.316	0.00	752.3126	0.00	758.3638	0.00	641.3015	0.00	770.4027	0.00	737.7651	0.00	742.563	0.00	711.7075	0.00	672.1942	0.00	688.4271	0.00	667.9911	0.00	709.2631	0.00	696.8729	0.00	553.5991	0.00	697.7408	0.00	533.6516	0.00	698.2645	0.00	627.7361	0.00	593.7326	0.00	706.2336	0.00	599.6927	0.00	631.1335	0.00	714.6241	0.00	650.6036	0.00	589.1497	0.00
CY3_HYB	2510500	4057.079	0.00	5411.988	0.00	6357.941	0.00	6251.521	0.00	5754.577	0.00	6338.833	0.00	5468.719	0.00	6003.543	0.00	5900.934	0.00	5720.08	0.00	6418.278	0.00	4275.429	0.00	7072.28	0.00	6939.701	0.00	7539.517	0.00	6448.34	0.00	6891.171	0.00	6650.155	0.00	6705.941	0.00	6826.624	0.00	6357.402	0.00	6477.039	0.00	6594.422	0.00	5686.541	0.00	6277.033	0.00	6480.905	0.00	5653.875	0.00	6378.33	0.00	5842.878	0.00	6145.717	0.00	5971.823	0.00	6060.991	0.00	6055.857	0.00	6254.731	0.00	7308.959	0.00	6459.494	0.00	3924.248	0.00	6028.669	0.00	4428.703	0.00	6114.984	0.00	5378.674	0.00	4714.581	0.00	5591.972	0.00	5325.326	0.00	6083.207	0.00	5315.766	0.00	5914.415	0.00	5065.904	0.00
CY3_HYB	4010327	15274.53	0.00	19025.98	0.00	22770.27	0.00	23768.4	0.00	23223.58	0.00	21876.24	0.00	21550.74	0.00	23712.28	0.00	23991.76	0.00	21842.58	0.00	26687.49	0.00	17714.53	0.00	31745.34	0.00	34669.96	0.00	34084.05	0.00	27897.42	0.00	30063.51	0.00	27662.24	0.00	28595.63	0.00	27297.08	0.00	27251.57	0.00	27990.15	0.00	26713.18	0.00	25315.99	0.00	27411.94	0.00	25709.66	0.00	23833.5	0.00	25249.78	0.00	25390.35	0.00	23964.24	0.00	23718.6	0.00	25374.28	0.00	24006.42	0.00	24062.23	0.00	26747.15	0.00	25262.04	0.00	16630.31	0.00	24160.16	0.00	18544.17	0.00	22360.87	0.00	23647.22	0.00	21285.01	0.00	26155.81	0.00	22575.77	0.00	22810.83	0.00	25858.99	0.00	23476.26	0.00	23345.85	0.00
CY3_HYB	4610291	3435.885	0.00	3987.605	0.00	4878.327	0.00	5102.258	0.00	4339.426	0.00	5385.182	0.00	4088.195	0.00	4548.251	0.00	4837.881	0.00	4315.81	0.00	4738.369	0.00	3597.351	0.00	6268.494	0.00	6145.627	0.00	5811.305	0.00	5265.795	0.00	6205.456	0.00	5698.921	0.00	5327.228	0.00	5980.201	0.00	5386.845	0.00	5702.859	0.00	5840.663	0.00	4836.375	0.00	5448.336	0.00	5449.217	0.00	4739.428	0.00	5387.753	0.00	5202.31	0.00	5699.296	0.00	5256.396	0.00	5297.803	0.00	5314.22	0.00	5113.51	0.00	5482.308	0.00	5268.378	0.00	3565.681	0.00	4991.226	0.00	3182.994	0.00	4841.781	0.00	4621.915	0.00	4403.57	0.00	4768.398	0.00	4741.151	0.00	4965.498	0.00	4948.396	0.00	4887.952	0.00	4466.025	0.00
CY3_HYB	7560739	390.2081	0.00	414.599	0.00	482.7665	0.00	562.6145	0.00	490.1932	0.00	518.6057	0.00	441.5253	0.00	460.3427	0.00	520.4727	0.00	484.7779	0.00	494.882	0.00	412.3788	0.00	623.3216	0.00	643.5663	0.00	658.2707	0.00	537.2015	0.00	582.304	0.00	632.3281	0.00	609.3173	0.00	618.6931	0.00	658.3049	0.00	632.0639	0.00	629.1691	0.00	563.3477	0.00	537.1909	0.00	559.4322	0.00	519.0482	0.00	582.1179	0.00	566.0236	0.00	515.3624	0.00	565.2788	0.00	559.8671	0.00	539.5338	0.00	572.6869	0.00	565.7211	0.00	610.3522	0.00	369.4275	0.00	548.7671	0.00	368.4352	0.00	512.5339	0.00	485.0973	0.00	458.9641	0.00	513.8356	0.00	489.086	0.00	585.9404	0.00	504.6696	0.00	501.0834	0.00	467.172	0.00
ERCC-00002	430220	85.18671	0.7558442	76.54434	0.9948052	89.21654	0.9857143	108.9337	0.9025974	93.2598	0.9454545	98.4288	0.9701298	84.37962	0.9454545	95.28674	0.9402598	91.64759	0.9493507	76.56979	0.9987013	110.777	0.8272727	82.8047	0.8454546	114.3654	0.9116883	116.1394	0.9038961	127.0539	0.6935065	108.3098	0.7831169	96.09344	0.9922078	116.7771	0.7493507	107.0714	0.9467533	95.21265	0.9883117	112.5117	0.8324676	111.6419	0.8454546	99.95115	0.9831169	98.68742	0.7571428	101.4907	0.9636363	119.0757	0.4597403	96.98443	0.8168831	95.37423	0.9714286	101.3572	0.8168831	85.30894	0.9974026	95.67624	0.8805195	99.3063	0.9	91.10522	0.9142857	90.32	0.9194805	100.2585	0.9207792	97.14662	0.9194805	74.29774	0.9558442	89.49876	0.9948052	73.13989	0.9909091	90.28274	0.9909091	89.73524	0.912987	86.81377	0.9142857	90.09492	0.9766234	91.47113	0.8753247	91.9838	0.9935065	99.65654	0.8402597	85.29198	0.987013	84.15833	0.8987013
ERCC-00003	6370471	79.17887	0.9	87.66164	0.8727273	100.0841	0.8428571	118.8601	0.7844156	99.97372	0.8428571	102.4	0.9402598	89.91959	0.8688312	92.93641	0.9623377	88.35425	0.9779221	91.92459	0.9558442	115.4022	0.7454545	77.35897	0.9506493	122.3046	0.7961039	105.6906	0.9857143	112.1258	0.9285714	108.6514	0.7792208	102.5353	0.9792208	114.2047	0.7948052	117.5986	0.8038961	97.97847	0.9766234	107.8796	0.9	112.081	0.8337662	107.3955	0.9311689	94.46567	0.864935	105.9256	0.9142857	93.69835	0.9675325	91.02539	0.9285714	105.5058	0.8220779	96.87681	0.9103896	98.11592	0.8441558	96.84192	0.851948	99.33677	0.9	87.3261	0.9662338	96.91062	0.7753247	101.0832	0.9051948	91.6134	0.9779221	82.3323	0.7662337	98.58087	0.9090909	85.53013	0.6701299	105.5564	0.7675325	95.38597	0.7649351	90.45657	0.8246753	104.9302	0.6675324	90.57353	0.8935065	107.0543	0.7246753	102.019	0.7818182	93.86604	0.8571429	84.49382	0.8935065
