TargetID	ProbeID	590.AVG_Signal	590.Detection Pval	592.AVG_Signal	592.Detection Pval	593.AVG_Signal	593.Detection Pval	594.AVG_Signal	594.Detection Pval	595.AVG_Signal	595.Detection Pval	596.AVG_Signal	596.Detection Pval	597.AVG_Signal	597.Detection Pval	598.AVG_Signal	598.Detection Pval	599.AVG_Signal	599.Detection Pval	600.AVG_Signal	600.Detection Pval	601.AVG_Signal	601.Detection Pval	603.AVG_Signal	603.Detection Pval	607.AVG_Signal	607.Detection Pval	608.AVG_Signal	608.Detection Pval	609.AVG_Signal	609.Detection Pval	612.AVG_Signal	612.Detection Pval	613.AVG_Signal	613.Detection Pval	614.AVG_Signal	614.Detection Pval	615.AVG_Signal	615.Detection Pval	616.AVG_Signal	616.Detection Pval	617.AVG_Signal	617.Detection Pval	618.AVG_Signal	618.Detection Pval	619.AVG_Signal	619.Detection Pval	623.AVG_Signal	623.Detection Pval	626.AVG_Signal	626.Detection Pval	627.AVG_Signal	627.Detection Pval	628.AVG_Signal	628.Detection Pval	629.AVG_Signal	629.Detection Pval	630.AVG_Signal	630.Detection Pval	631.AVG_Signal	631.Detection Pval	632.AVG_Signal	632.Detection Pval	634.AVG_Signal	634.Detection Pval	635.AVG_Signal	635.Detection Pval	636.AVG_Signal	636.Detection Pval	637.AVG_Signal	637.Detection Pval	638.AVG_Signal	638.Detection Pval	639.AVG_Signal	639.Detection Pval	640.AVG_Signal	640.Detection Pval	641.AVG_Signal	641.Detection Pval	642.AVG_Signal	642.Detection Pval	643.AVG_Signal	643.Detection Pval	645.AVG_Signal	645.Detection Pval	646.AVG_Signal	646.Detection Pval	647.AVG_Signal	647.Detection Pval	648.AVG_Signal	648.Detection Pval	649.AVG_Signal	649.Detection Pval	650.AVG_Signal	650.Detection Pval	651.AVG_Signal	651.Detection Pval
BIOTIN	5090180	27849.5	0.00	33307.15	0.00	30138.18	0.00	26075.29	0.00	28665.67	0.00	23484.03	0.00	27657.44	0.00	32868.32	0.00	31647.47	0.00	34870.42	0.00	32356.18	0.00	30827.06	0.00	32749.23	0.00	32130.87	0.00	23538.74	0.00	30228.86	0.00	24253.04	0.00	30361.78	0.00	28634.78	0.00	31214.42	0.00	31681.94	0.00	27138.36	0.00	28578.4	0.00	28671.1	0.00	33881.16	0.00	33864.71	0.00	39151.4	0.00	28263.81	0.00	31919.89	0.00	33435.96	0.00	34332.76	0.00	31796.8	0.00	32927.5	0.00	28831.58	0.00	36441.37	0.00	37805.41	0.00	32347.72	0.00	29805.77	0.00	27523.3	0.00	31955.42	0.00	29999.9	0.00	27311.58	0.00	30266	0.00	26970.7	0.00	33431.02	0.00	28572.36	0.00	29861.39	0.00	33940.41	0.00
BIOTIN	6510136	24271.59	0.00	29720.9	0.00	26268.36	0.00	25328.72	0.00	31633.14	0.00	21896.02	0.00	24460.14	0.00	32939.95	0.00	29166.27	0.00	31333.16	0.00	30358.75	0.00	31297.55	0.00	29298.06	0.00	31186.13	0.00	23413.09	0.00	28069.57	0.00	22252.44	0.00	29750.42	0.00	28306.46	0.00	26834.95	0.00	29833.54	0.00	24729.05	0.00	26115.88	0.00	29371.13	0.00	31142.27	0.00	31971.43	0.00	33274.55	0.00	28302.09	0.00	35139.88	0.00	33455.74	0.00	33169.21	0.00	33047.56	0.00	30695.11	0.00	26643.55	0.00	38004.95	0.00	33352.29	0.00	32528.42	0.00	29301.96	0.00	25656.91	0.00	30711.96	0.00	27556.02	0.00	24781.67	0.00	33302.54	0.00	26038.9	0.00	35485.15	0.00	31327.17	0.00	28470.73	0.00	26712.53	0.00
CY3_HYB	1110170	28783.12	0.00	35094.29	0.00	38160.23	0.00	28240.75	0.00	36481.13	0.00	27211.99	0.00	28304.01	0.00	38279.06	0.00	36666.78	0.00	38941.97	0.00	37897.66	0.00	38868.86	0.00	35640.12	0.00	35654.86	0.00	26788.79	0.00	35054.75	0.00	26584.2	0.00	35850.08	0.00	34588.49	0.00	35829.68	0.00	34465.88	0.00	30723.73	0.00	31486.82	0.00	31964.15	0.00	35037.68	0.00	38755.73	0.00	42706.14	0.00	30700.25	0.00	37976.62	0.00	35943.46	0.00	36454.11	0.00	33957.02	0.00	34981.05	0.00	29949.41	0.00	42951.96	0.00	39651.94	0.00	38187.29	0.00	38094.62	0.00	36400.32	0.00	36023.54	0.00	34024.65	0.00	31771.34	0.00	35540.65	0.00	28721.52	0.00	35771.8	0.00	33732.63	0.00	36875.38	0.00	30749.98	0.00
CY3_HYB	1450438	674.7545	0.00	791.4839	0.00	731.7856	0.00	658.0804	0.00	748.7386	0.00	450.2412	0.00	545.7737	0.00	872.7673	0.00	778.428	0.00	807.1865	0.00	871.4685	0.00	749.849	0.00	883.3957	0.00	846.1074	0.00	638.7248	0.00	832.2952	0.00	564.3096	0.00	906.269	0.00	768.584	0.00	841.2482	0.00	866.9895	0.00	716.9355	0.00	796.8712	0.00	799.8842	0.00	833.7164	0.00	900.4882	0.00	893.8666	0.00	717.6411	0.00	907.5076	0.00	917.1412	0.00	895.9708	0.00	870.4183	0.00	897.1462	0.00	680.1534	0.00	994.4411	0.00	926.1698	0.00	954.5168	0.00	959.1011	0.00	928.0301	0.00	900.5582	0.00	793.7384	0.00	738.9771	0.00	954.9515	0.00	760.5016	0.00	921.2214	0.00	975.787	0.00	1004.716	0.00	978.8449	0.00
CY3_HYB	2510500	5924.518	0.00	6822.483	0.00	5900.937	0.00	5172.388	0.00	6540.314	0.00	4269.038	0.00	4872.73	0.00	7021.202	0.00	6658.712	0.00	6430.765	0.00	7103.6	0.00	6212.877	0.00	6883.242	0.00	7063.828	0.00	5401.938	0.00	6875.614	0.00	4746.289	0.00	7171.636	0.00	6539.991	0.00	6748.193	0.00	6672.627	0.00	5782.756	0.00	6145.045	0.00	6363.005	0.00	7152.696	0.00	7142.074	0.00	7090.268	0.00	6136.422	0.00	7992.33	0.00	7393.395	0.00	7269.448	0.00	7149.416	0.00	7093.078	0.00	6196.544	0.00	7766.731	0.00	7038.965	0.00	6953.793	0.00	7455.4	0.00	7187.97	0.00	7262.968	0.00	6590.733	0.00	6038.549	0.00	6797.897	0.00	5509.635	0.00	7024.726	0.00	7238.786	0.00	7392.261	0.00	7449.788	0.00
CY3_HYB	4010327	22348.46	0.00	27382.25	0.00	25145.9	0.00	21973.45	0.00	26844.96	0.00	19151.49	0.00	20802.02	0.00	30998.47	0.00	27075.8	0.00	29548.9	0.00	27627.97	0.00	28789.9	0.00	27506.35	0.00	28901.37	0.00	23842.2	0.00	28532.4	0.00	19570.38	0.00	27123.18	0.00	26349.09	0.00	28821.78	0.00	27106.5	0.00	23376.42	0.00	23569.87	0.00	23675.08	0.00	26724.84	0.00	26732.3	0.00	27371.5	0.00	25651.74	0.00	29223.38	0.00	27290.27	0.00	28205.34	0.00	30177.76	0.00	27458.93	0.00	23250.62	0.00	32930.24	0.00	30387.62	0.00	31016.25	0.00	28230.45	0.00	28229.77	0.00	26934.69	0.00	25032.14	0.00	24086.4	0.00	28919.53	0.00	20633.11	0.00	27229.49	0.00	26334.18	0.00	30825.32	0.00	26242.21	0.00
CY3_HYB	4610291	4786.824	0.00	5534.802	0.00	5261.478	0.00	4471.079	0.00	5585.887	0.00	3392.769	0.00	3845.442	0.00	5955.649	0.00	5581.49	0.00	5573.81	0.00	6350.836	0.00	5539.632	0.00	5951.383	0.00	5729.11	0.00	4707.271	0.00	5611.573	0.00	4130.557	0.00	6364.662	0.00	5673.339	0.00	5916.954	0.00	5813.675	0.00	5204.91	0.00	5240.215	0.00	5457.231	0.00	6121.748	0.00	6075.037	0.00	5956.335	0.00	5680.378	0.00	6406.377	0.00	6558.04	0.00	6360.433	0.00	5692.293	0.00	6157.609	0.00	4918.452	0.00	6674.933	0.00	6243.211	0.00	5863.529	0.00	6327.296	0.00	5673.338	0.00	5934.03	0.00	5291.406	0.00	4908.417	0.00	5827.012	0.00	4628.718	0.00	6268.523	0.00	5712.817	0.00	6241.362	0.00	6073.669	0.00
CY3_HYB	7560739	483.9395	0.00	584.9271	0.00	558.5232	0.00	466.0435	0.00	607.1985	0.00	379.4483	0.00	411.2729	0.00	635.2506	0.00	557.0247	0.00	596.6082	0.00	661.3802	0.00	640.6134	0.00	700.3185	0.00	693.1478	0.00	520.0288	0.00	686.7133	0.00	495.7516	0.00	690.2268	0.00	654.8283	0.00	639.5759	0.00	659.72	0.00	529.8928	0.00	591.0349	0.00	715.8986	0.00	657.1137	0.00	686.688	0.00	768.2899	0.00	591.6334	0.00	705.5925	0.00	673.2587	0.00	725.9981	0.00	655.2485	0.00	700.1047	0.00	566.5542	0.00	761.3651	0.00	677.0646	0.00	789.9576	0.00	715.1063	0.00	706.4781	0.00	742.1117	0.00	619.3732	0.00	630.6069	0.00	771.5483	0.00	633.35	0.00	741.5206	0.00	726.8376	0.00	732.0022	0.00	764.044	0.00
ERCC-00002	430220	92.57367	0.874026	102.5039	0.9103896	115.6221	0.8532467	99.89506	0.8363636	117.7726	0.9285714	80.17166	0.9558442	83.8007	0.9753247	121.9026	0.9090909	125.5265	0.7012987	119.6507	0.9077922	115.5543	0.9597403	111.964	0.9376624	119.6851	0.9844156	111.2574	1	117.4272	0.687013	127.1791	0.9285714	87.67328	0.974026	145.4736	0.8	132.6742	0.8402597	131.9124	0.8818182	126.8189	0.9415584	100.4426	0.987013	122.0077	0.8545455	130.7549	0.8051948	136.246	0.7948052	120.2399	0.9935065	145.6448	0.8116883	118.8285	0.8428571	139.7041	0.9090909	140.3572	0.8402597	147.952	0.7532467	138.4711	0.8207792	141.5966	0.8064935	102.4124	0.9792208	142.9547	0.8922078	137.6947	0.8493506	178.5448	0.9	179.2129	0.8701299	163.377	0.9636363	172.2326	0.9012987	166.1409	0.7883117	163.6501	0.8194805	176.258	0.9649351	138.6756	0.9558442	185.9498	0.9116883	186.2815	0.8337662	190.2599	0.8324676	193.3927	0.825974
ERCC-00003	6370471	96.3908	0.7922078	107.464	0.8090909	114.0547	0.8688312	95.88437	0.9	127.0119	0.8246753	84.52379	0.8948052	102.8343	0.6272727	133.0003	0.7766234	108.11	0.9454545	126.5129	0.8155844	123.0314	0.8766234	120.8347	0.8168831	127.4501	0.9246753	122.7977	0.9714286	108.3678	0.8103896	123.5451	0.9584416	95.85229	0.8831169	136.3231	0.9103896	122.7076	0.9532468	136.5244	0.8246753	131.7585	0.8844156	127.8126	0.6883117	111.4909	0.9571428	128.8444	0.8272727	132.7733	0.8324676	135.8845	0.8597403	141.5087	0.8493506	127.4302	0.7493507	152.1788	0.7818182	141.6114	0.8298701	147.325	0.7597402	134.684	0.8597403	141.3056	0.8103896	127.7549	0.7	143.2031	0.8909091	138.5742	0.8402597	227.8965	0.4194805	171.7954	0.9441559	187.8048	0.7636364	167.5131	0.9376624	171.6709	0.7428572	143.1645	0.9688312	213.2748	0.738961	145.9857	0.9103896	178.9718	0.9532468	176.6712	0.9064935	188.5514	0.8597403	187.6464	0.8779221
