Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	Sample_ID	Pool_ID	Sample_Well	Sample_Plate	BIOTIN	CY3_HYB	ERCC-00002	ERCC-00003	ERCC-00004	ERCC-00009	ERCC-00012	ERCC-00013	ERCC-00014	ERCC-00016	ERCC-00017	ERCC-00019	ERCC-00022	ERCC-00024	ERCC-00025	ERCC-00028	ERCC-00031	ERCC-00033	ERCC-00034	ERCC-00035	ERCC-00039	ERCC-00040	ERCC-00041	ERCC-00042	ERCC-00043	ERCC-00044	ERCC-00046	ERCC-00048	ERCC-00051	ERCC-00053	ERCC-00054	ERCC-00057	ERCC-00058	ERCC-00059	ERCC-00060	ERCC-00061	ERCC-00062	ERCC-00067	ERCC-00069	ERCC-00071	ERCC-00073	ERCC-00074	ERCC-00075	ERCC-00076	ERCC-00077	ERCC-00078	ERCC-00079	ERCC-00081	ERCC-00083	ERCC-00084	ERCC-00085	ERCC-00086	ERCC-00092	ERCC-00095	ERCC-00096	ERCC-00097	ERCC-00098	ERCC-00099	ERCC-00104	ERCC-00108	ERCC-00109	ERCC-00111	ERCC-00112	ERCC-00113	ERCC-00116	ERCC-00117	ERCC-00120	ERCC-00123	ERCC-00126	ERCC-00130	ERCC-00131	ERCC-00134	ERCC-00136	ERCC-00137	ERCC-00138	ERCC-00142	ERCC-00143	ERCC-00144	ERCC-00145	ERCC-00147	ERCC-00148	ERCC-00150	ERCC-00154	ERCC-00156	ERCC-00157	ERCC-00158	ERCC-00160	ERCC-00162	ERCC-00163	ERCC-00164	ERCC-00165	ERCC-00168	ERCC-00170	ERCC-00171	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
1	590	LE-Heart	5636631032	A	290	1729	0.2192258	-20.1424	-8.84119	0.2125871	8.468317	20.8552	590				26060.54	10500.27	92.57367	96.3908	92.44019	109.1347	89.65723	95.35954	101.7775	92.70937	90.88158	96.24981	93.853	99.82277	91.89257	98.38701	92.4743	97.55896	95.99487	88.37646	86.04485	86.23773	94.52296	89.10233	86.0686	92.11052	87.8632	97.53909	99.01494	93.0275	94.57442	90.79459	95.85435	93.79653	100.4239	91.14651	90.22655	91.01567	92.91274	96.04855	90.87466	92.80949	86.10903	97.55121	83.56243	99.54987	97.97113	89.7234	92.78878	98.62746	95.04668	100.7111	100.8721	90.79936	98.06055	87.12314	87.1254	99.91459	95.50537	94.99789	89.96958	97.47858	102.7129	83.20432	94.87609	90.0357	89.24049	98.12298	101.7987	95.74366	108.2085	97.36069	83.43849	97.22474	93.2189	97.24824	97.61713	107.0716	94.55861	83.79972	96.19961	92.31658	99.98645	102.549	89.11668	94.7568	89.52501	92.20184	95.17334	111.9771	91.46147	95.55164	89.54311	87.14801	124.4399	109.5857	9921.498	110.0874	13.80751
2	592	LE-Heart	5636631032	B	715	2228	2.093299	-23.33673	-9.737349	0.9398097	10.44251	25.22016	592				31514.02	12701.71	102.5039	107.464	106.7451	122.3124	96.94386	105.5392	106.3685	123.1574	110.0161	107.4115	104.4725	101.5271	100.3003	100.0054	102.6472	103.8121	100.6448	101.4272	104.9259	105.0868	112.4468	96.66139	99.47012	110.4325	101.7531	104.3726	116.0639	105.8076	104.6016	108.1357	99.46888	112.1108	109.6533	115.0915	110.0912	112.1924	96.49877	111.8977	94.61263	101.8936	103.5178	111.1485	107.7296	112.9343	101.7172	115.7048	106.5956	107.5796	107.8888	107.4657	95.81416	100.3513	101.9492	99.29903	103.856	111.1946	109.8528	109.2482	109.4537	98.76477	118.1141	100.0105	109.0496	96.76062	109.5015	111.3309	110.9877	107.801	100.1546	102.1257	104.7837	107.9074	97.50834	99.48042	112.9917	109.661	101.5604	107.9478	108.0606	102.9482	113.0109	105.1634	128.6057	104.312	111.4958	111.7667	121.0525	123.1604	110.853	112.3759	99.72128	110.1279	164.389	125.8969	11740.86	125.0935	15.77043
3	593	LE-Heart	5636631032	C	10383	12588	325.4353	-18.52778	-0.5364982	15.21114	92.14681	1331.838	593				28203.27	12626.48	115.6221	114.0547	116.2066	120.3584	112.3644	112.0971	112.4572	116	110.4721	125.9435	108.0817	101.9852	107.7386	120.6526	112.7879	129.7568	109.1023	112.0037	113.8646	111.9014	111.4608	122.3495	115.6781	124.5903	122.7509	114.6233	111.0847	108.8947	116.4818	114.1898	119.7201	113.1771	113.0415	103.2771	116.4336	111.2347	106.2478	124.901	114.3518	111.7909	114.6279	108.0208	109.8738	110.05	105.8781	113.222	111.6857	120.12	125.9172	117.8389	119.7192	108.3176	110.9216	121.0432	117.2724	124.6111	104.04	111.4599	110.703	105.9497	127.1369	105.1496	116.7962	112.181	114.2277	100.3286	140.4988	104.7245	119.7281	123.1178	120.2328	122.8341	118.1323	101.0135	102.8278	135.1039	105.5338	106.2855	106.7142	114.1673	124.8897	116.8775	128.9972	98.29121	111.7582	105.5647	128.6719	126.9948	118.4697	130.1165	119.6564	126.3113	11192.6	128.4699	11258.12	134.7576	16.83971
4	594	LE-Heart	5636631032	D	9643	12214	267.6904	-17.21234	-0.9688361	12.62967	71.09195	1066.18	594				25702	10163.63	99.89506	95.88437	98.81147	103.4139	105.4962	105.5173	108.1352	115.9176	99.88556	93.61555	96.51329	101.9828	93.87085	113.8938	93.71427	106.3726	103.9206	109.0571	104.5641	118.1165	91.09034	90.77114	94.93861	96.36666	98.9052	94.43819	106.1508	94.68595	101.591	94.13259	117.3005	104.3817	99.50215	105.0936	99.66399	99.62119	91.6992	110.2672	104.4198	102.2556	99.19167	88.01305	99.23248	101.9676	101.0353	91.77789	85.20705	125.8219	102.8831	99.87215	92.8269	94.61	94.33081	94.7393	92.08414	110.932	102.6522	99.67381	89.23273	111.5058	107.5565	107.3667	100.0465	100.0258	100.4451	94.3898	122.9208	92.01147	93.8502	105.2227	99.59412	107.5812	102.2016	95.10592	105.9149	104.4114	90.66167	93.13165	104.0118	105.978	107.8264	102.7269	103.8236	96.87212	90.57309	103.7079	111.2167	111.6427	92.57726	109.984	107.9971	101.6597	8986.816	127.8975	9297.283	117.6766	15.52782
5	595	LE-Heart	5636631032	E	9396	12077	323.5735	-19.73025	-0.8878993	14.81608	91.17529	1323.842	595				30149.4	12801.37	117.7726	127.0119	121.9049	134.5273	112.3116	122.4188	128.691	133.1322	125.9759	125.0895	129.7058	116.1233	124.5023	132.1595	118.4694	128.1421	124.9697	126.0965	111.9538	123.4262	117.7361	116.9499	112.6238	132.32	125.5929	129.5192	135.3369	129.9953	128.353	121.9876	136.3473	130.2799	132.4824	117.2915	125.8629	116.9181	110.6169	149.3156	127.6338	134.5986	118.881	117.811	130.1178	116.5551	118.4987	120.2221	125.2264	137.528	118.5887	119.6716	126.4946	123.8686	117.6498	127.188	119.1561	139.0479	129.2581	128.6172	122.439	138.4536	119.2147	122.9644	123.4522	109.981	123.5382	125.1255	161.1762	128.4942	121.1578	124.3238	123.4063	139.5788	130.7391	114.7163	136.6022	120.3798	119.519	113.7821	132.8058	131.476	119.7317	121.3018	142.6706	113.025	129.4901	125.0615	141.4345	127.5729	119.0468	120.9783	136.7977	133.8289	9882.26	142.4147	11245.47	145.6363	18.89576
6	596	LE-Heart	5636631032	F	9822	12530	227.628	-13.60482	-0.4813977	11.45453	66.04726	906.9641	596				22690.02	9142.496	80.17166	84.52379	71.60509	88.81775	108.8338	90.94421	91.13999	83.50797	88.70129	84.62589	73.12194	73.09322	92.5881	95.29417	109.5032	85.15473	104.9567	80.67368	80.5751	80.73026	84.47791	92.33122	81.34622	80.96326	79.69739	88.79011	95.00865	78.85256	96.81559	86.11842	96.48708	88.70011	97.53773	89.95073	92.96089	78.52363	85.69632	92.49195	87.79884	87.81319	86.33005	83.40833	85.94532	93.75065	83.67361	84.53693	92.45521	87.76945	80.30266	84.55624	82.99565	86.02268	92.56102	90.20812	86.64292	86.77969	88.40595	88.54137	94.21503	76.85722	94.11162	86.88774	86.44508	87.91057	78.9912	85.22396	104.0534	92.3861	84.37701	92.71388	84.59241	95.54758	87.73676	91.65449	94.27084	88.73904	81.44828	91.87826	107.3771	84.14906	90.40133	77.33834	103.7549	79.81564	77.21806	82.73773	101.3466	102.5034	78.42849	93.9784	90.57249	106.8164	7486.112	90.37025	8318.181	100.8284	12.89187
7	597	LE-Heart	5636631032	G	9078	12244	229.753	-14.19562	-0.5116894	11.47444	61.30761	913.0211	597				26058.79	9796.874	83.8007	102.8343	101.4171	107.6436	88.55824	88.29467	99.92884	98.92399	93.37477	83.67489	94.23046	92.90624	92.25571	90.11499	94.00819	96.62235	96.93743	94.26846	93.28642	98.56142	95.54002	88.30812	89.89176	94.76945	86.37654	90.01311	96.98204	100.6002	99.21748	96.60398	92.62254	97.96589	98.13673	92.71425	88.30077	87.43637	98.17705	101.0068	89.64102	91.35766	78.16026	87.06371	93.46485	93.65343	85.82805	88.78933	81.89227	89.38833	88.2477	92.83518	100.6439	96.25601	93.27699	93.33431	91.19724	87.18304	94.52297	91.47813	85.35017	98.01244	93.2408	87.39841	101.8073	101.7038	92.74894	91.18632	117.7123	88.8588	88.37409	103.6335	99.93623	108.1614	107.2069	96.43101	100.8787	93.94698	83.35432	96.18703	89.83717	102.6721	93.03589	91.94556	93.9213	83.76078	93.83261	90.17831	106.153	99.18375	86.27083	90.48288	97.12204	92.49596	8180.348	107.389	8739.77	107.4542	13.83577
8	598	LE-Heart	5636631032	H	10373	13013	342.0191	-19.09145	0.5872884	16.81638	101.6874	1363.73	598				32904.14	13960.4	121.9026	133.0003	119.0675	148.1257	112.5156	122.4361	140.6847	118.9479	127.5531	131.0804	122.2594	129.6034	121.2632	133.4328	129.1711	125.3041	126.5138	122.4032	118.954	128.4475	125.5387	135.984	124.5685	129.7747	121.3251	144.164	127.9073	130.5501	119.5943	109.8413	147.9019	134.3421	129.534	127.717	130.9053	131.0251	118.9606	127.0769	123.7305	133.254	110.5589	116.3702	119.5339	138.0804	128.5506	129.5999	114.6143	117.3975	130.2157	131.7959	134.9344	129.0929	143.0487	124.1633	126.6902	122.1928	117.0119	121.5194	125.9381	124.5275	127.57	124.7131	137.4046	132.1326	120.5027	122.305	141.1366	120.7465	126.9828	132.7817	132.3397	136.7466	127.7369	120.6205	124.8921	138.2186	123.8201	125.2453	114.7474	132.0642	128.1546	119.7296	135.7571	114.1484	128.0772	130.9203	140.496	127.7998	123.2468	134.9368	128.8631	132.0811	11210.43	137.9678	12519.7	147.099	17.43393
9	599	LE-Heart	5636631032	I	9328	12070	291.856	-18.15479	-0.5279438	14.21818	74.77253	1183.362	599				30406.87	12886.37	125.5265	108.11	110.9426	122.6121	107.8116	113.0053	109.5329	117.3886	118.0741	120.1361	104.9571	108.8194	102.8372	122.3496	119.4361	102.6333	124.9987	105.51	111.5135	133.6979	127.2232	112.4567	97.13293	128.319	104.3245	148.0028	113.4092	120.4888	120.959	119.5608	118.838	132.3751	117.0798	116.0595	126.9132	110.7713	114.3148	133.8695	104.8837	126.9234	103.7146	103.4257	115.6244	109.5415	113.1393	120.822	115.0984	113.0799	114.8779	114.217	125.905	112.4174	114.2254	121.5903	116.5557	133.1625	108.9956	123.3626	116.323	113.8671	114.206	122.5312	119.7263	117.8612	103.9634	102.5644	162.6219	126.6386	114.533	113.353	113.0154	124.2729	125.4368	117.7708	136.9963	113.8734	127.9423	108.617	118.6387	115.3325	118.2735	120.3585	122.0981	108.7986	117.4574	132.4072	121.5822	129.4218	112.5548	118.0687	117.8751	116.1514	10524.47	126.3594	11489.03	135.204	17.15021
10	600	LE-Heart	5636631032	J	9836	12205	320.6788	-18.21771	-0.02285479	15.44025	87.92653	1271.852	600				33101.79	13649.87	119.6507	126.5129	114.9763	155.2479	120.2758	125.4727	120.9327	121.6093	115.8541	125.7971	113.7309	138.2267	126.581	136.4874	117.4488	117.3559	121.6588	127.9502	132.1372	129.5721	114.9165	119.8808	108.2474	125.1261	115.2734	131.8786	129.753	131.4943	134.3442	118.775	124.9897	123.9832	123.6898	145.5802	118.8459	124.8139	113.3347	128.4785	121.46	115.4807	110.4118	110.2866	127.6779	124.9798	128.1525	125.5498	110.909	140.8024	115.5288	130.3736	127.0035	117.8668	128.5323	132.1801	124.1677	123.9406	113.3036	122.6205	118.7288	116.6468	138.4566	110.6071	117.98	116.5058	114.1386	125.2323	147.7173	106.1759	133.7655	122.965	124.2609	150.8262	124.9877	109.2914	132.2048	134.48	125.3052	136.5738	133.445	117.065	128.3177	131.8831	136.7577	125.2339	128.2087	124.3576	133.4462	128.7154	128.1218	145.0405	125.3564	140.4255	10554.73	140.5583	12084.54	144.2273	17.61948
