Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	Sample_ID	Pool_ID	Sample_Well	Sample_Plate	BIOTIN	CY3_HYB	ERCC-00002	ERCC-00003	ERCC-00004	ERCC-00009	ERCC-00012	ERCC-00013	ERCC-00014	ERCC-00016	ERCC-00017	ERCC-00019	ERCC-00022	ERCC-00024	ERCC-00025	ERCC-00028	ERCC-00031	ERCC-00033	ERCC-00034	ERCC-00035	ERCC-00039	ERCC-00040	ERCC-00041	ERCC-00042	ERCC-00043	ERCC-00044	ERCC-00046	ERCC-00048	ERCC-00051	ERCC-00053	ERCC-00054	ERCC-00057	ERCC-00058	ERCC-00059	ERCC-00060	ERCC-00061	ERCC-00062	ERCC-00067	ERCC-00069	ERCC-00071	ERCC-00073	ERCC-00074	ERCC-00075	ERCC-00076	ERCC-00077	ERCC-00078	ERCC-00079	ERCC-00081	ERCC-00083	ERCC-00084	ERCC-00085	ERCC-00086	ERCC-00092	ERCC-00095	ERCC-00096	ERCC-00097	ERCC-00098	ERCC-00099	ERCC-00104	ERCC-00108	ERCC-00109	ERCC-00111	ERCC-00112	ERCC-00113	ERCC-00116	ERCC-00117	ERCC-00120	ERCC-00123	ERCC-00126	ERCC-00130	ERCC-00131	ERCC-00134	ERCC-00136	ERCC-00137	ERCC-00138	ERCC-00142	ERCC-00143	ERCC-00144	ERCC-00145	ERCC-00147	ERCC-00148	ERCC-00150	ERCC-00154	ERCC-00156	ERCC-00157	ERCC-00158	ERCC-00160	ERCC-00162	ERCC-00163	ERCC-00164	ERCC-00165	ERCC-00168	ERCC-00170	ERCC-00171	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
1	HSS 106	LE-Heart	5753677124	A	11550	13668	318.1313	-13.8298	-0.4184777	12.93407	92.92165	1300.957	HSS 106				15662.92	7079.482	85.18671	79.17887	74.58573	70.91199	80.60071	85.69819	83.34644	85.73801	82.03405	84.95675	77.69875	84.21245	72.90492	89.12393	78.08929	73.9893	79.28651	84.27448	79.95061	82.46227	87.40497	73.52093	75.79543	86.92766	74.0629	73.18214	85.51827	74.75536	78.8544	89.92891	77.4885	73.6488	85.4146	79.97055	96.56667	82.02539	75.6514	94.4939	82.34571	77.1002	78.22581	86.37486	74.54939	81.46042	86.47962	80.44769	80.75317	82.8295	80.60585	80.98287	75.36112	79.83437	82.03237	74.07306	74.37176	91.5597	73.08149	78.99714	74.61906	84.05887	89.11668	78.52905	94.72887	77.10248	80.81086	83.64322	98.9072	86.66285	82.58389	86.38145	88.4988	94.67908	82.79402	76.88161	80.22524	91.61471	80.93571	84.87069	72.32778	92.54649	81.53135	83.1704	92.84906	79.63454	72.47584	79.4463	105.8485	82.295	80.07546	97.61448	80.54459	84.47648	8449.645	97.25674	7438.176	92.5174	10.85999
2	HSS 107	LE-Heart	5753677124	B	10015	13097	319.143	-13.75357	-0.2905973	13.05341	91.89954	1298.761	HSS 107				21003.12	9039.372	76.54434	87.66164	87.27986	84.74107	74.9948	82.77708	104.6624	95.81564	82.75252	93.50185	107.1526	83.90904	78.24928	84.78345	76.42583	82.84191	88.34944	97.37432	100.2938	96.98112	89.93529	89.31586	82.16048	80.68356	98.41194	76.96492	99.1968	94.59444	81.16931	99.02964	99.71836	92.33466	86.97923	85.01955	84.01044	84.18843	88.4926	99.61408	80.77612	95.68291	95.3941	89.50482	81.26058	86.72543	87.08562	80.74875	91.93692	90.25991	93.41727	82.85061	94.18651	82.45238	82.11945	90.83625	87.68533	106.4328	84.93771	86.75089	82.57346	92.62094	80.06704	81.56397	94.75603	90.2477	79.8096	79.70097	129.975	84.01111	83.6163	76.61684	84.06344	97.60457	94.26544	80.87689	95.15277	107.0866	86.55096	90.92429	87.80366	88.13237	93.71595	82.18541	85.9308	82.75293	86.11244	93.64006	97.17195	90.73305	83.71309	92.8843	87.62453	98.60452	9805.068	101.6504	8000.699	101.9244	12.9264
3	HSS 108	LE-Heart	5753677124	C	10707	13460	317.8235	-13.68422	-0.3712802	12.9596	92.2835	1319.472	HSS 108				25478.19	10682.39	89.21654	100.0841	91.00678	96.18333	91.31862	88.35376	96.06278	118.3863	95.34927	111.6996	103.4668	98.13071	106.5564	101.0497	94.03929	93.379	94.97705	98.48102	87.09258	106.6273	104.1617	94.72448	88.95023	102.1111	96.21893	90.91869	105.2349	102.8978	91.27731	93.64013	113.1818	91.42141	99.62159	96.74063	94.61968	100.6357	92.52628	104.178	105.4609	96.80017	97.77201	89.97674	90.7561	91.95379	103.8632	98.29147	86.40858	102.1686	88.02437	90.12713	107.0125	88.89648	88.50242	100.2212	98.85586	109.3175	90.6203	100.6937	98.60542	96.49799	103.3189	95.95	102.6009	97.14065	88.60329	102.8092	130.0968	98.97855	90.62711	101.0682	103.5522	114.1878	98.44057	94.9872	118.2908	101.3664	97.30519	93.77917	96.22166	103.2468	98.08245	89.85379	126.3358	89.01876	95.062	112.7978	110.764	109.6002	109.6786	103.9696	104.0957	105.913	10919.75	120.0947	9416.738	114.9899	14.26077
4	HSS 109	LE-Heart	5753677124	D	11158	14074	317.6848	-13.80458	-0.4425671	12.91408	92.85069	1311.683	HSS 109				24810.82	10831.29	108.9337	118.8601	114.161	100.0829	111.0884	106.5703	112.7897	140.4603	117.3796	121.1225	118.3241	98.00102	107.9019	118.4295	115.0112	97.60166	122.3832	112.0662	105.6013	121.9491	117.0034	114.7104	102.6734	111.9363	116.6498	114.0526	130.4836	110.2024	119.9861	107.9964	137.0466	118.7134	141.8544	114.8697	113.9753	122.4644	109.4031	113.3576	107.6275	109.6826	96.97416	106.3108	123.794	103.1897	114.9431	97.53594	111.3327	109.9065	111.864	95.85986	112.3498	107.7937	113.1309	125.5171	106.3583	113.0605	102.3743	105.4682	111.4942	129.3126	118.2807	107.6848	128.0857	107.3717	110.273	116.6944	135.2769	117.4312	109.9427	111.1929	125.5865	131.8657	109.567	111.5732	117.0941	114.2933	106.8932	105.9693	103.1573	107.8599	114.0338	107.9796	124.8318	108.6587	115.6872	122.3286	117.333	128.0849	110.7989	110.9517	125.9778	154.5016	13949.48	131.5373	9451.461	132.6872	17.94794
5	HSS 110	LE-Heart	5753677124	E	10730	13486	318.5103	-13.61968	-0.5169191	12.92786	92.92165	1292.235	HSS 110				22638.09	10171.81	93.2598	99.97372	106.4209	104.1638	91.03478	98.12978	106.3553	128.1887	97.84768	100.0747	97.82425	88.50625	90.81229	116.658	94.56625	99.68591	100.0138	114.3632	86.58398	105.7285	133.8104	100.0338	91.9625	92.83812	115.3039	100.3732	115.731	99.79062	98.14722	97.77499	117.6448	91.75106	100.0099	94.53069	92.15709	90.72483	82.98599	103.4135	109.6943	101.6484	90.08745	96.77736	92.98977	104.8707	101.4987	94.88715	103.0014	94.23346	97.11769	103.1453	95.71999	87.11966	97.87207	109.0622	91.98833	116.8948	99.79906	100.6515	94.08194	95.57726	91.81293	90.38473	96.91098	92.51919	94.24021	96.36587	152.0591	89.6785	93.99155	111.271	110.209	105.7888	103.5378	89.72324	94.19908	109.5287	92.11483	95.09747	96.84068	102.2337	94.33344	97.07484	124.415	88.26094	99.88162	101.315	110.946	101.1205	98.04999	100.0089	102.3112	119.4192	11706.47	116.1676	9064.626	116.1499	16.0871
6	HSS 111	LE-Heart	5753677124	F	10960	13421	318.3197	-13.74059	-0.3498604	13.07947	92.68654	1300.501	HSS 111				25638.94	11094.7	98.4288	102.4	104.5452	97.62528	91.76228	102.6951	118.6155	137.4345	113.9831	116.4847	99.08228	103.9261	107.3441	119.8203	105.9679	92.29886	123.0881	100.0704	125.5034	104.0721	111.6358	107.2645	102.5534	113.3672	112.7659	101.4285	108.9379	98.51829	102.2821	98.46078	123.0846	101.4919	119.5555	100.8076	104.0693	111.9377	104.9472	133.9634	106.9835	109.3267	105.0858	96.19829	100.3554	109.0811	100.4313	105.2476	109.8566	113.7086	98.18563	106.6985	104.1415	97.67649	93.2696	108.6328	105.922	128.0863	105.1287	101.5174	85.88857	107.3899	123.1085	104.4125	110.6478	105.2849	103.846	103.7639	144.0221	104.9362	99.48334	101.7985	102.0041	132.3032	113.0004	92.2925	106.3714	104.7032	104.8768	91.54933	104.0461	121.7805	101.8321	104.5578	122.1946	98.11507	104.1329	102.5314	121.8064	118.0506	106.6063	101.5061	122.6502	132.5965	11610.01	137.5223	9943.104	125.927	16.73574
7	HSS 112	LE-Heart	5753677124	G	10785	13956	317.2713	-13.68949	-0.4493731	13.03047	93.21815	1304.573	HSS 112				22494.49	9696.742	84.37962	89.91959	92.8504	97.06192	78.51615	101.5411	90.79204	109.2725	99.22063	95.63612	91.21121	88.02255	94.47897	111.058	91.57056	93.14918	89.18028	87.23725	99.05581	103.094	95.61191	86.00685	82.02245	96.20119	84.83791	93.53573	97.75016	96.7419	93.32346	81.85897	105.7913	96.73797	108.8886	86.01377	103.3708	92.9343	98.8616	92.5287	93.17867	94.55108	92.05586	97.29226	84.32189	93.13066	101.7378	93.02973	91.11082	84.21388	94.6858	87.87489	89.09068	73.13353	94.37061	95.69807	83.02392	104.9409	88.45585	95.37004	86.60834	93.17096	90.40955	87.51768	93.57325	78.60097	87.454	99.56861	153.4986	90.16632	72.31693	94.29601	81.38631	88.38782	94.17973	82.79282	85.94125	103.381	87.2558	91.17471	90.76379	83.75027	85.78418	98.3177	110.2508	90.29083	104.4124	90.8893	95.62698	102.2488	87.61698	84.37567	108.3875	124.7807	9289.191	109.9509	8604.282	104.6715	13.71489
8	HSS 113	LE-Heart	5753677124	H	10832	12911	319.904	-13.61263	-0.3367652	12.93553	92.73187	1288.269	HSS 113				26105.73	11124.14	95.28674	92.93641	96.20418	109.5573	105.9127	94.91498	103.878	105.6283	114.7942	98.18022	86.46251	109.6539	96.259	109.7903	91.71831	101.5506	117.3586	93.19938	97.39046	109.1877	101.6082	99.49276	86.04861	93.57179	91.72011	115.5154	112.8252	98.42032	90.52457	109.2394	113.2529	99.97861	105.5375	96.613	114.5894	86.69788	100.2549	108.6545	119.2726	94.8063	101.8477	104.6234	94.23983	106.0641	107.1463	95.725	90.60114	99.04723	93.99711	92.35339	101.6528	96.15095	95.12803	102.6766	88.68839	105.3256	102.9943	110.7182	103.8516	103.7335	112.6949	95.49616	102.2916	91.44356	108.0851	97.81242	125.4587	108.0361	96.11217	111.5335	98.07272	123.6494	108.4472	100.297	92.38288	110.5375	97.55628	90.82901	97.4799	104.3403	100.4971	94.39526	112.4472	88.66774	104.2509	104.3243	119.902	108.4059	108.2777	99.46293	106.9983	114.8404	12506.42	124.7242	9720.232	117.5739	15.74831
9	HSS 114	LE-Heart	5753677124	I	10509	12998	318.6992	-13.7429	-0.4342017	12.99489	92.57505	1296.821	HSS 114				25087.73	10746.06	91.64759	88.35425	104.711	89.14848	86.71878	96.71113	125.5501	102.6152	106.3658	105.3239	100.2479	89.1462	95.09413	103.2402	91.69489	90.26453	98.44687	88.34603	94.19496	103.6023	102.8679	88.47813	91.96555	101.3856	96.17037	91.22141	104.635	88.98322	103.967	101.6733	112.9641	90.45337	104.9558	98.97513	104.7486	86.60218	89.62272	102.5594	95.08131	101.8031	89.01268	96.50259	98.02196	95.48833	97.18169	108.0832	82.48206	93.9749	97.7174	79.87117	92.10529	93.39102	89.31944	96.73415	103.6074	102.9316	88.19723	106.087	100.1567	104.702	101.2255	96.31574	101.324	103.276	92.60516	90.38459	132.0639	101.3452	86.86133	89.54166	104.6006	93.94689	102.0043	91.49251	101.8408	106.7142	99.90851	96.16688	102.1392	125.474	95.13379	96.34548	103.9744	94.0267	99.89949	102.0344	104.4025	100.9997	102.0807	100.9731	88.41329	112.898	10702.84	112.9464	9511.882	114.5403	15.13675
10	HSS 115	LE-Heart	5753677124	J	10727	13093	317.8625	-13.72808	-0.371291	12.92917	93.19569	1303.21	HSS 115				24135.73	10317.82	76.56979	91.92459	91.68159	100.1255	90.17653	91.64352	102.867	102.025	99.9707	95.10417	102.2984	93.04356	94.10362	98.92499	85.14698	96.10043	97.9549	100.8001	102.7386	99.79427	115.4846	93.20912	97.39166	98.78995	95.25227	93.39738	93.9951	107.4343	107.4898	94.93941	114.9314	96.13067	117.8452	105.2207	106.0095	90.23335	88.60833	101.1449	105.0538	99.3017	83.50137	93.00324	92.48119	107.0854	105.4525	81.88473	87.32208	88.22131	98.07777	94.15078	90.04114	88.41944	101.0457	100.3067	88.74953	98.96729	92.8513	100.4899	90.70214	108.3549	90.68646	99.05145	91.94609	93.29647	102.4103	89.60278	149.7803	94.92162	97.32607	96.62295	106.5861	100.3981	91.78056	92.22489	105.4908	101.9358	107.2153	80.0405	93.21	116.0386	84.66547	107.8894	113.9265	90.24645	103.2577	94.92969	106.5537	108.51	96.29089	116.0585	110.7336	98.73412	10549.05	110.5395	8883.587	116.0785	15.43888
