oldname	newname
s_3	995
s_4	281
s_5	2106
s_6	285
s_7	510
s_8	159
s_9	829
s_10	388
s_11	909
s_12	1282
s_13	744
s_14	1054
s_15	594
s_16	1170
s_17	2
s_19	760
s_20	1755
s_21	1146
s_22	634
s_23	769
s_24	1887
s_25	1132
s_26	968
s_27	649
s_28	305
s_29	1535
s_30	1647
s_31	93
s_32	1029
s_33	1481
s_34	2023
s_35	607
s_37	309
s_38	330
s_39	1888
s_40	339
s_41	819
s_42	1368
s_43	953
s_44	113
s_45	1560
s_46	1212
s_47	1525
s_48	1626
s_49	427
s_50	617
s_52	180
s_53	394
s_54	2063
s_56	458
s_57	404
s_59	1229
s_60	260
s_61	1528
s_62	654
s_63	220
s_64	1451
s_65	1947
s_66	530
s_68	127
s_70	1369
s_71	85
s_72	616
s_73	1521
s_75	1160
s_76	1494
s_77	1750
s_80	1533
s_81	1743
s_82	359
s_83	933
s_84	219
s_85	612
s_86	1354
s_88	500
s_90	1398
s_91	1997
s_93	800
s_94	147
s_95	1311
